ITEMID,MONTH,INVENTLOCATIONID,MEAN_BY_MONTH
1561200,3,11,1.0
1561200,3,13,1.0
1561200,3,20,1.0
1561200,3,29,1.5
1561200,3,50,1.0
1561200,3,100,2.0
1561200,3,151,1.5
1561200,3,152,1.0
1561200,3,205,1.0
1561200,4,1,1.0
1561200,4,13,1.0
1561200,4,20,1.25
1561200,4,29,2.0
1561200,4,50,1.8333333333333333
1561200,4,100,1.25
1561200,4,151,1.5
1561200,4,152,2.0
1561200,4,205,1.0
1561200,5,1,2.0
1561200,5,11,1.0
1561200,5,13,1.0
1561200,5,20,1.0
1561200,5,29,4.0
1561200,5,50,1.3333333333333333
1561200,5,100,1.0
1561200,5,151,1.0
1561200,5,152,1.0
1561200,5,205,1.5
1561200,6,1,1.2
1561200,6,11,1.0
1561200,6,13,1.0
1561200,6,20,1.4
1561200,6,29,1.0
1561200,6,50,1.0
1561200,6,151,1.5
1561200,6,205,1.6
1561200,7,1,1.0
1561200,7,11,1.3333333333333333
1561200,7,13,1.8571428571428572
1561200,7,20,1.3333333333333333
1561200,7,29,4.0
1561200,7,50,1.0
1561200,7,100,1.0
1561200,7,151,1.0
1561200,7,152,1.0
1561200,7,205,1.0
1561200,8,1,1.4285714285714286
1561200,8,11,1.0
1561200,8,13,1.0
1561200,8,20,1.1428571428571428
1561200,8,29,1.5
1561200,8,50,1.0
1561200,8,100,1.5
1561200,8,151,1.0
1561200,8,152,1.0
1561200,8,205,1.0
1561200,9,1,1.4
1561200,9,11,4.0
1561200,9,13,1.0
1561200,9,20,1.0
1561200,9,29,1.0
1561200,9,50,1.0
1561200,9,151,1.0
1561200,9,205,1.0
1561200,10,11,1.0
1561200,10,13,1.1428571428571428
1561200,10,20,1.1428571428571428
1561200,10,29,2.5
1561200,10,50,1.0
1561200,10,100,1.0
1561200,10,151,1.3333333333333333
1561200,10,205,1.0
1561200,11,1,2.75
1561200,11,11,1.0
1561200,11,13,1.0
1561200,11,20,1.5
1561200,11,29,2.0
1561200,11,50,1.0
1561200,11,100,1.3333333333333333
1561200,11,152,1.0
1561200,11,205,1.0
1561200,12,1,1.4
1561200,12,11,1.5
1561200,12,20,1.3
1561200,12,50,1.0
1561200,12,100,1.1666666666666667
1561200,12,151,1.5
1561200,12,205,1.0
2934053,1,1,1.0
2934053,1,11,1.0
2934053,1,13,1.0
2934053,1,20,1.2
2934053,1,29,1.0
2934053,1,50,1.25
2934053,1,100,1.25
2934053,1,151,1.0
2934053,1,152,1.0
2934053,1,205,1.0
2934053,2,1,1.3333333333333333
2934053,2,11,1.0
2934053,2,13,2.0
2934053,2,20,1.3333333333333333
2934053,2,29,1.0
2934053,2,50,1.0
2934053,2,100,1.0
2934053,2,151,1.0
2934053,2,205,1.3333333333333333
2934053,3,1,1.4
2934053,3,11,1.0
2934053,3,13,1.0
2934053,3,20,1.0
2934053,3,29,1.0
2934053,3,50,1.0
2934053,3,100,1.0
2934053,3,151,1.0
2934053,3,152,1.0
2934053,3,205,1.0
2934053,4,1,2.5
2934053,4,13,1.0
2934053,4,20,1.0
2934053,4,29,1.0
2934053,4,50,1.1428571428571428
2934053,4,100,1.0
2934053,4,151,1.0
2934053,4,152,1.0
2934053,4,205,1.0
2934053,5,1,1.0
2934053,5,13,1.0
2934053,5,20,1.2
2934053,5,50,1.0
2934053,5,100,1.0
2934053,5,151,1.0
2934053,5,152,1.0
2934053,5,205,1.0
2934053,6,1,1.0
2934053,6,11,1.0
2934053,6,20,1.3333333333333333
2934053,6,29,1.0
2934053,6,50,1.0
2934053,6,151,1.0
2934053,6,205,1.0
2934053,7,1,1.0
2934053,7,11,2.0
2934053,7,13,1.375
2934053,7,20,1.0
2934053,7,29,2.0
2934053,7,50,1.0
2934053,7,151,1.0
2934053,7,152,1.0
2934053,7,205,1.0
2934053,8,1,1.5
2934053,8,13,1.0
2934053,8,20,1.25
2934053,8,29,1.0
2934053,8,50,1.3333333333333333
2934053,8,100,1.0
2934053,8,151,1.0
2934053,8,205,1.0
2934053,9,1,1.25
2934053,9,13,1.0
2934053,9,20,1.1666666666666667
2934053,9,29,1.0
2934053,9,50,1.0
2934053,9,100,1.0
2934053,9,151,1.0
2934053,10,1,1.1666666666666667
2934053,10,11,1.0
2934053,10,13,1.0
2934053,10,20,1.0
2934053,10,29,2.3333333333333335
2934053,10,50,1.0
2934053,10,100,1.0
2934053,10,151,1.0
2934053,10,205,1.0
2934053,11,1,1.0
2934053,11,11,2.0
2934053,11,13,1.0
2934053,11,20,1.0
2934053,11,29,1.5
2934053,11,50,1.1666666666666667
2934053,11,100,1.0
2934053,11,151,1.0
2934053,11,152,1.0
2934053,11,205,1.0
2934053,12,1,1.0
2934053,12,11,2.0
2934053,12,13,1.0
2934053,12,20,1.1428571428571428
2934053,12,50,1.0
2934053,12,100,1.3333333333333333
2934053,12,151,1.0
2934053,12,152,1.0
3223155,1,1,1.375
3223155,1,11,1.0
3223155,1,20,1.0
3223155,1,29,3.5
3223155,1,50,1.0
3223155,1,100,1.5333333333333334
3223155,1,151,1.0
3223155,1,152,1.0
3223155,1,205,1.0
3223155,2,1,1.7142857142857142
3223155,2,11,1.0
3223155,2,13,1.0
3223155,2,20,1.0
3223155,2,29,1.6
3223155,2,50,1.0666666666666667
3223155,2,100,1.25
3223155,2,151,1.0
3223155,2,152,2.375
3223155,2,205,1.0
3223155,3,1,1.5
3223155,3,11,4.333333333333333
3223155,3,20,1.0
3223155,3,29,1.6
3223155,3,50,1.3636363636363635
3223155,3,100,1.2857142857142858
3223155,3,152,2.0
3223155,3,205,1.0
3223155,4,1,1.1111111111111112
3223155,4,11,1.0
3223155,4,13,1.0
3223155,4,20,3.25
3223155,4,29,3.4
3223155,4,50,1.25
3223155,4,100,1.3571428571428572
3223155,4,152,1.3333333333333333
3223155,4,205,1.0
3223155,5,1,1.2857142857142858
3223155,5,11,2.0
3223155,5,13,1.0
3223155,5,29,1.5
3223155,5,50,1.3846153846153846
3223155,5,100,2.625
3223155,5,151,1.0
3223155,5,152,1.0
3223155,5,205,1.0
3223155,6,1,1.0
3223155,6,11,1.5
3223155,6,20,1.0
3223155,6,29,1.0
3223155,6,50,1.4
3223155,6,100,1.0
3223155,6,151,1.0
3223155,6,152,1.0
3223155,6,205,1.0
3223155,7,1,1.3333333333333333
3223155,7,20,1.0
3223155,7,29,1.0
3223155,7,50,1.3333333333333333
3223155,7,100,2.25
3223155,7,151,1.0
3223155,7,152,1.0
3223155,8,1,1.5
3223155,8,11,1.0
3223155,8,13,2.0
3223155,8,20,1.0
3223155,8,29,2.4
3223155,8,50,1.0
3223155,8,100,1.2857142857142858
3223155,8,151,1.0
3223155,8,152,1.0
3223155,8,205,1.0
3223155,9,1,1.6
3223155,9,11,6.0
3223155,9,20,5.5
3223155,9,50,1.0
3223155,9,100,1.6666666666666667
3223155,9,151,1.0
3223155,9,152,2.3333333333333335
3223155,9,205,1.0
3223155,10,1,1.0
3223155,10,11,6.0
3223155,10,20,1.0
3223155,10,29,2.5
3223155,10,50,1.125
3223155,10,100,1.7777777777777777
3223155,10,151,1.0
3223155,10,152,1.8
3223155,10,205,1.0
3223155,11,1,2.1666666666666665
3223155,11,11,2.0
3223155,11,13,1.0
3223155,11,20,1.0
3223155,11,29,1.25
3223155,11,50,1.3
3223155,11,100,4.0
3223155,11,151,1.75
3223155,11,152,2.125
3223155,11,205,1.0
3223155,12,1,1.0
3223155,12,11,1.0
3223155,12,13,1.0
3223155,12,20,1.5
3223155,12,50,1.25
3223155,12,100,1.6666666666666667
3223155,12,151,1.0
3223155,12,152,1.0
3261644,1,1,1.3
3261644,1,11,1.0
3261644,1,13,1.25
3261644,1,20,1.0
3261644,1,29,1.5
3261644,1,50,1.2666666666666666
3261644,1,100,3.1
3261644,1,151,1.0
3261644,1,152,1.0
3261644,2,1,3.260869565217391
3261644,2,11,1.3
3261644,2,13,1.0
3261644,2,20,1.1428571428571428
3261644,2,29,1.0
3261644,2,50,1.6363636363636365
3261644,2,100,1.76
3261644,2,151,1.0
3261644,2,152,1.5
3261644,2,205,2.6666666666666665
3261644,3,1,1.76
3261644,3,11,2.0
3261644,3,13,1.0
3261644,3,20,1.0
3261644,3,29,1.6666666666666667
3261644,3,50,1.3846153846153846
3261644,3,100,2.375
3261644,3,151,3.4
3261644,3,152,1.0
3261644,3,205,1.0
3261644,4,1,1.2222222222222223
3261644,4,11,1.0
3261644,4,13,2.0
3261644,4,20,1.0769230769230769
3261644,4,29,2.2
3261644,4,50,1.0952380952380953
3261644,4,100,2.0
3261644,4,151,1.1111111111111112
3261644,4,152,1.0
3261644,5,1,2.0
3261644,5,11,2.0
3261644,5,13,1.5
3261644,5,20,1.0
3261644,5,29,2.0
3261644,5,50,1.5
3261644,5,100,1.9090909090909092
3261644,5,151,1.1428571428571428
3261644,5,152,1.25
3261644,5,205,1.5
3261644,6,1,3.5
3261644,6,11,1.0
3261644,6,13,2.0
3261644,6,20,1.1666666666666667
3261644,6,29,1.4
3261644,6,50,1.1666666666666667
3261644,6,100,2.142857142857143
3261644,6,151,1.4285714285714286
3261644,6,152,1.0
3261644,6,205,2.0
3261644,7,1,1.3636363636363635
3261644,7,11,1.0
3261644,7,13,1.0
3261644,7,20,1.25
3261644,7,29,1.2
3261644,7,50,1.0
3261644,7,100,4.0
3261644,7,151,1.0909090909090908
3261644,8,1,1.7647058823529411
3261644,8,11,1.0
3261644,8,13,1.0
3261644,8,20,1.4285714285714286
3261644,8,29,1.0
3261644,8,50,1.25
3261644,8,100,2.3
3261644,8,151,2.8333333333333335
3261644,8,152,1.0
3261644,8,205,1.0
3261644,9,1,1.9285714285714286
3261644,9,11,2.3333333333333335
3261644,9,13,2.0
3261644,9,20,1.0
3261644,9,29,1.0
3261644,9,50,1.0
3261644,9,100,1.5714285714285714
3261644,9,151,1.0
3261644,9,152,3.0
3261644,10,1,1.2666666666666666
3261644,10,11,1.0
3261644,10,13,1.75
3261644,10,20,1.3333333333333333
3261644,10,29,1.1666666666666667
3261644,10,50,1.1428571428571428
3261644,10,100,2.6666666666666665
3261644,10,151,2.0
3261644,10,205,2.6666666666666665
3261644,11,1,1.0
3261644,11,11,1.25
3261644,11,13,1.5
3261644,11,20,1.5
3261644,11,29,2.6666666666666665
3261644,11,50,1.0
3261644,11,100,1.6153846153846154
3261644,11,151,1.5
3261644,11,152,1.0
3261644,11,205,1.0
3261644,12,1,2.1538461538461537
3261644,12,11,1.75
3261644,12,13,7.75
3261644,12,20,1.5416666666666667
3261644,12,29,1.25
3261644,12,50,1.0
3261644,12,100,2.5
3261644,12,151,1.0
3261644,12,152,1.0
3261644,12,205,1.0
3466688,1,1,1.2222222222222223
3466688,1,11,1.0
3466688,1,13,1.0
3466688,1,20,1.2
3466688,1,29,1.25
3466688,1,50,1.6666666666666667
3466688,1,100,2.0
3466688,1,151,1.0
3466688,1,152,1.0
3466688,1,205,1.2
3466688,2,1,1.1428571428571428
3466688,2,11,1.0
3466688,2,13,1.5
3466688,2,20,1.25
3466688,2,29,1.0
3466688,2,50,1.2
3466688,2,100,1.0
3466688,2,151,1.0
3466688,2,152,1.75
3466688,2,205,1.0
3466688,3,1,1.5
3466688,3,11,1.0
3466688,3,13,1.0
3466688,3,20,1.0
3466688,3,29,2.5
3466688,3,50,1.0
3466688,3,100,1.0
3466688,3,151,1.0
3466688,3,152,1.0
3466688,3,205,1.0
3466688,4,1,1.0
3466688,4,11,1.0
3466688,4,13,1.4
3466688,4,20,1.0
3466688,4,29,3.0
3466688,4,50,1.1666666666666667
